#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-12-06T22:00:08 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5664af9a5d2d	
#INFO	-out.max=unlimited	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/116/2805&tab:{J/AJ/116/2805/table3}&key:source=J/AJ/116/2805/table3&HTTPPRM:&&-meta=1&-meta.foot=1&-meta.ucd=2&
#-source=J/AJ/116/2805/table3
#-order=I
#-out=[OII]
#-out=e_[OII]
#-out=[NeIII]
#-out=e_[NeIII]
#-out=[OIII]
#-out=e_[OIII]
#-out=[OI]
#-out=e_[OI]
#-out=[SIII]
#-out=e_[SIII]
#-out=Halpha
#-out=e_Halpha
#-out=[NII]
#-out=e_[NII]
#-out=[SII]
#-out=e_[SII]
#-out=[ArIII]
#-out=e_[ArIII]
#-out=cHbeta
#-out=e_cHbeta
#

#RESOURCE=yCat_51162805
#Name: J/AJ/116/2805
#Title: H II regions in spiral galaxies (Van Zee+, 1998)
#Table	J_AJ_116_2805_table3:
#Name: J/AJ/116/2805/table3
#Title: H II region line strengths
#Column	[OII]	(F5.2)	Relative [O II]3727+3729 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OII]	(F5.2)	rms uncertainty on [OII]	[ucd=stat.error]
#Column	[NeIII]	(F6.3)	? Relative [Ne III] 3869 line strength (2)	[ucd=spect.line.intensity]
#Column	e_[NeIII]	(F6.3)	? rms uncertainty on [NeIII]	[ucd=stat.error]
#Column	[OIII]	(F6.3)	Relative [O III] 4959+5007 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OIII]	(F6.3)	rms uncertainty on [OIII]	[ucd=stat.error]
#Column	[OI]	(F6.3)	? Relative [O I] 6300 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[OI]	(F6.3)	? rms uncertainty on [OI]	[ucd=stat.error]
#Column	[SIII]	(F6.3)	? Relative [S III] 6312 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[SIII]	(F6.3)	? rms uncertainty on [SIII]	[ucd=stat.error]
#Column	Halpha	(F5.2)	Relative H{alpha} 6563 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_Halpha	(F5.2)	rms uncertainty on Halpha	[ucd=stat.error]
#Column	[NII]	(F6.3)	Relative [N II] 6548+6583 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[NII]	(F6.3)	rms uncertainty on [NII]	[ucd=stat.error]
#Column	[SII]	(F6.3)	Relative [S II] 6717+6731 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[SII]	(F6.3)	rms uncertainty on [SII]	[ucd=stat.error]
#Column	[ArIII]	(F6.3)	? Relative [Ar III] 7136 line strength (2)	[ucd=spect.line.intensity;arith.ratio]
#Column	e_[ArIII]	(F6.3)	? rms uncertainty on [ArIII]	[ucd=stat.error]
#Column	cHbeta	(F5.2)	Reddening coefficient c_H{beta}_	[ucd=phot.color.excess]
#Column	e_cHbeta	(F5.2)	rms uncertainty on cHbeta	[ucd=stat.error]
#[OII];e_[OII];[NeIII];e_[NeIII];[OIII];e_[OIII];[OI];e_[OI];[SIII];e_[SIII];Halpha;e_Halpha;[NII];e_[NII];[SII];e_[SII];[ArIII];e_[ArIII];cHbeta;e_cHbeta
# ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;
#——;——;———;———;———;———;———;———;———;———;——;——;———;———;———;———;———;———;——;——
 4.33; 0.18;      ;      ; 0.612; 0.017;      ;      ;      ;      ; 2.58; 0.12; 0.308; 0.013; 0.443; 0.017; 0.026; 0.003; 0.10; 0.05
 2.09; 0.10; 0.081; 0.004; 1.693; 0.051; 0.027; 0.001; 0.007; 0.001; 2.86; 0.14; 0.614; 0.024; 0.527; 0.020; 0.046; 0.003; 0.18; 0.05
 3.90; 0.20; 0.180; 0.017; 2.226; 0.073; 0.041; 0.004;      ;      ; 2.88; 0.16; 0.637; 0.028; 0.634; 0.027; 0.059; 0.005; 0.44; 0.05
 3.63; 0.18; 0.116; 0.009; 1.547; 0.048; 0.060; 0.003;      ;      ; 2.81; 0.14; 0.713; 0.030; 0.752; 0.029; 0.058; 0.004; 0.34; 0.05
 2.93; 0.15;      ;      ; 1.552; 0.051;      ;      ;      ;      ; 2.88; 0.16; 0.755; 0.034; 0.574; 0.024; 0.066; 0.005; 0.37; 0.05
 4.23; 0.24;      ;      ; 1.995; 0.073;      ;      ;      ;      ; 2.79; 0.16; 0.617; 0.029; 0.682; 0.031; 0.039; 0.006; 0.46; 0.06
 2.68; 0.13; 0.145; 0.008; 2.777; 0.083; 0.033; 0.002; 0.011; 0.001; 2.82; 0.14; 0.467; 0.019; 0.483; 0.019; 0.068; 0.004; 0.16; 0.05
 4.01; 0.20;      ;      ; 2.156; 0.065; 0.051; 0.003; 0.009; 0.001; 2.82; 0.14; 0.617; 0.025; 0.752; 0.029; 0.051; 0.003; 0.22; 0.05
 4.35; 0.21; 0.260; 0.013; 2.512; 0.076; 0.077; 0.004;      ;      ; 2.87; 0.15; 0.535; 0.021; 0.816; 0.031; 0.054; 0.003; 0.09; 0.05
 2.52; 0.12; 0.300; 0.015; 4.662; 0.140; 0.044; 0.002; 0.013; 0.001; 2.87; 0.15; 0.275; 0.011; 0.463; 0.018; 0.065; 0.004; 0.28; 0.05
 3.04; 0.17; 0.183; 0.020; 3.881; 0.132; 0.055; 0.009;      ;      ; 2.90; 0.16; 0.375; 0.021; 0.729; 0.033; 0.064; 0.009; 0.21; 0.06
 3.64; 0.18; 0.391; 0.019; 4.552; 0.138; 0.060; 0.004; 0.014; 0.002; 2.82; 0.14; 0.350; 0.014; 0.526; 0.021; 0.070; 0.005; 0.10; 0.05
 4.83; 0.26;      ;      ; 3.683; 0.123; 0.107; 0.008;      ;      ; 2.95; 0.17; 0.452; 0.022; 0.859; 0.037; 0.057; 0.007; 0.01; 0.06
 2.68; 0.14; 0.134; 0.013; 3.762; 0.120; 0.042; 0.004;      ;      ; 2.97; 0.16; 0.314; 0.014; 0.451; 0.019; 0.074; 0.005; 0.26; 0.05
 3.24; 0.16;      ;      ; 5.371; 0.165; 0.038; 0.003; 0.013; 0.002; 2.94; 0.15; 0.230; 0.010; 0.392; 0.016; 0.065; 0.004; 0.31; 0.05
 3.11; 0.15; 0.390; 0.018; 4.681; 0.140; 0.047; 0.002; 0.014; 0.001; 2.83; 0.14; 0.270; 0.011; 0.447; 0.017; 0.066; 0.004; 0.21; 0.05
 5.32; 0.31;      ;      ; 2.612; 0.098; 0.027; 0.002; 0.013; 0.002; 2.79; 0.17; 0.469; 0.026; 0.772; 0.039;      ;      ; 0.00; 0.06
 1.95; 0.10; 0.465; 0.023; 7.003; 0.212; 0.027; 0.002; 0.013; 0.002; 2.84; 0.15; 0.178; 0.008; 0.248; 0.010; 0.062; 0.004; 0.19; 0.05
 2.47; 0.12; 0.523; 0.026; 6.455; 0.197; 0.030; 0.002; 0.017; 0.001; 2.79; 0.14; 0.166; 0.007; 0.297; 0.011; 0.075; 0.005; 0.30; 0.05
 2.24; 0.18;      ;      ; 3.469; 0.169;      ;      ;      ;      ; 2.91; 0.23; 0.090; 0.015; 0.408; 0.028;      ;      ; 0.00; 0.08
 1.23; 0.07; 0.278; 0.021; 6.338; 0.208; 0.039; 0.003; 0.014; 0.002; 2.72; 0.15; 0.076; 0.004; 0.165; 0.008; 0.038; 0.003; 0.37; 0.06
 5.32; 0.62;      ;      ; 1.165; 0.144; 0.126; 0.020;      ;      ; 2.86; 0.35; 1.105; 0.109; 1.077; 0.098;      ;      ; 1.16; 0.12
 2.01; 0.14;      ;      ; 2.000; 0.087;      ;      ;      ;      ; 2.85; 0.19; 0.679; 0.037; 0.622; 0.032; 0.049; 0.006; 0.68; 0.07
 3.32; 0.44;      ;      ; 2.490; 0.218;      ;      ;      ;      ; 2.86; 0.37; 0.764; 0.085; 0.874; 0.087;      ;      ; 1.11; 0.12
 3.64; 0.32;      ;      ; 3.475; 0.193; 0.100; 0.014;      ;      ; 2.93; 0.26; 0.612; 0.048; 0.782; 0.055;      ;      ; 0.61; 0.09
 3.18; 0.24;      ;      ; 1.581; 0.090;      ;      ;      ;      ; 2.86; 0.22; 1.361; 0.088; 0.948; 0.060;      ;      ; 0.67; 0.08
 3.86; 0.39;      ;      ; 0.148; 0.085;      ;      ;      ;      ; 2.86; 0.17; 1.290; 0.118; 1.062; 0.091;      ;      ; 0.64; 0.10
 3.36; 0.18;      ;      ; 0.808; 0.042;      ;      ;      ;      ; 2.86; 0.30; 1.218; 0.061; 0.832; 0.041; 0.032; 0.010; 0.55; 0.06
 3.79; 0.20;      ;      ; 0.327; 0.035;      ;      ;      ;      ; 2.86; 0.17; 1.310; 0.063; 1.030; 0.047;      ;      ; 0.64; 0.06
 3.50; 0.14;      ;      ; 1.885; 0.044;      ;      ;      ;      ; 2.80; 0.13; 0.778; 0.028; 0.514; 0.018; 0.081; 0.005; 0.36; 0.05
 2.90; 0.13;      ;      ; 2.069; 0.056;      ;      ;      ;      ; 2.86; 0.14; 0.712; 0.030; 0.478; 0.019; 0.080; 0.006; 0.22; 0.05
 4.24; 0.25;      ;      ; 0.683; 0.046;      ;      ;      ;      ; 2.86; 0.19; 0.919; 0.053; 0.883; 0.048; 0.067; 0.014; 0.21; 0.06
 3.83; 0.20;      ;      ; 0.614; 0.030;      ;      ;      ;      ; 2.86; 0.16; 0.953; 0.051; 0.809; 0.041;      ;      ; 0.34; 0.06
 3.51; 0.17;      ;      ; 0.644; 0.030;      ;      ;      ;      ; 2.86; 0.16; 0.892; 0.043; 0.635; 0.031; 0.058; 0.012; 0.14; 0.06
 0.39; 0.02;      ;      ; 0.107; 0.016;      ;      ;      ;      ; 2.86; 0.14; 0.985; 0.041; 0.488; 0.019;      ;      ; 0.10; 0.05
 0.63; 0.05;      ;      ; 0.191; 0.030; 0.074; 0.006;      ;      ; 2.86; 0.17; 1.371; 0.066; 0.601; 0.027; 0.019; 0.004; 0.69; 0.06
 0.69; 0.03;      ;      ; 0.224; 0.013;      ;      ;      ;      ; 2.86; 0.14; 1.180; 0.047; 0.525; 0.019;      ;      ; 0.18; 0.05
 0.98; 0.06;      ;      ; 0.221; 0.030;      ;      ;      ;      ; 2.86; 0.17; 1.368; 0.064; 0.662; 0.031;      ;      ; 0.43; 0.06
 0.74; 0.04;      ;      ; 0.129; 0.013; 0.042; 0.004;      ;      ; 2.86; 0.14; 1.131; 0.044; 0.581; 0.022;      ;      ; 0.23; 0.05
 1.21; 0.05;      ;      ; 0.191; 0.015;      ;      ;      ;      ; 2.87; 0.14; 1.243; 0.048; 0.681; 0.025; 0.019; 0.004; 0.28; 0.05
 1.10; 0.07;      ;      ; 0.390; 0.035;      ;      ;      ;      ; 2.86; 0.17; 1.209; 0.056; 0.796; 0.037;      ;      ; 0.35; 0.06
 1.61; 0.07;      ;      ; 0.196; 0.011;      ;      ;      ;      ; 2.86; 0.13; 1.277; 0.047; 0.835; 0.029; 0.020; 0.002; 0.24; 0.05
 2.62; 0.11;      ;      ; 1.053; 0.024;      ;      ;      ;      ; 2.86; 0.13; 1.154; 0.043; 0.713; 0.025; 0.053; 0.003; 0.24; 0.05
 1.63; 0.11;      ;      ; 0.172; 0.048;      ;      ;      ;      ; 2.86; 0.20; 1.083; 0.066; 0.709; 0.043;      ;      ; 0.05; 0.07
 1.69; 0.07;      ;      ; 0.352; 0.013;      ;      ;      ;      ; 2.86; 0.14; 1.221; 0.048; 0.633; 0.024;      ;      ; 0.38; 0.05
 3.94; 0.48;      ;      ; 1.090; 0.141;      ;      ;      ;      ; 2.86; 0.37; 1.267; 0.139; 0.886; 0.092;      ;      ; 0.65; 0.12
 2.30; 0.12;      ;      ; 0.304; 0.031;      ;      ;      ;      ; 2.86; 0.16; 1.189; 0.057; 0.742; 0.035; 0.026; 0.010; 0.05; 0.06
 1.84; 0.09; 0.219; 0.021; 3.747; 0.100;      ;      ;      ;      ; 2.78; 0.14; 0.638; 0.028; 0.272; 0.012; 0.118; 0.008; 0.53; 0.05
 2.35; 0.13;      ;      ; 1.203; 0.049;      ;      ;      ;      ; 2.86; 0.17; 0.993; 0.049; 0.400; 0.021; 0.068; 0.007; 0.27; 0.06
 2.69; 0.15;      ;      ; 0.890; 0.041;      ;      ;      ;      ; 2.82; 0.16; 1.063; 0.051; 0.501; 0.025; 0.049; 0.008; 0.27; 0.06
 2.46; 0.11;      ;      ; 2.117; 0.057;      ;      ;      ;      ; 2.80; 0.14; 0.788; 0.033; 0.754; 0.029; 0.061; 0.007; 0.10; 0.05
 2.03; 0.10; 0.927; 0.044; 7.809; 0.281; 0.452; 0.022; 0.020; 0.001; 2.71; 0.14; 0.648; 0.035; 0.746; 0.029; 0.075; 0.005; 0.62; 0.05
 4.08; 0.19;      ;      ; 1.529; 0.044; 0.031; 0.002;      ;      ; 2.72; 0.14; 0.381; 0.002; 0.636; 0.024; 0.054; 0.004; 0.30; 0.05
 3.20; 0.30;      ;      ; 4.076; 0.217;      ;      ;      ;      ; 2.86; 0.33; 0.460; 0.222; 0.891; 0.228;      ;      ; 0.20; 0.11
 2.88; 0.13; 0.176; 0.008; 3.798; 0.105; 0.017; 0.001; 0.018; 0.001; 2.71; 0.14; 0.244; 0.009; 0.292; 0.011; 0.090; 0.005; 0.35; 0.05
 4.46; 0.21; 0.146; 0.011; 2.381; 0.068;      ;      ;      ;      ; 2.82; 0.15; 0.297; 0.013; 0.678; 0.027; 0.050; 0.003; 0.27; 0.05
 2.60; 0.12; 0.336; 0.019; 4.076; 0.118;      ;      ;      ;      ; 2.79; 0.15; 0.237; 0.011; 0.509; 0.020; 0.075; 0.005; 0.21; 0.05
 3.67; 0.17; 0.462; 0.023; 5.217; 0.149;      ;      ;      ;      ; 2.72; 0.14; 0.232; 0.011; 0.620; 0.024; 0.091; 0.006; 0.30; 0.05
 3.07; 0.14; 0.092; 0.005; 2.551; 0.071; 0.026; 0.001; 0.022; 0.001; 2.77; 0.14; 0.309; 0.013; 0.371; 0.014; 0.076; 0.004; 0.16; 0.05
 4.34; 0.21;      ;      ; 3.217; 0.092; 0.029; 0.003; 0.008; 0.003; 2.35; 0.12; 0.211; 0.010; 0.382; 0.016; 0.069; 0.005; 0.50; 0.05
 3.94; 0.18; 0.187; 0.010; 3.037; 0.086;      ;      ;      ;      ; 2.85; 0.15; 0.326; 0.014; 0.529; 0.021; 0.085; 0.005; 0.15; 0.05
 2.72; 0.13; 0.246; 0.014; 4.519; 0.130;      ;      ;      ;      ; 2.68; 0.14; 0.195; 0.010; 0.285; 0.012; 0.086; 0.006; 0.22; 0.05
 3.06; 0.14; 0.293; 0.015; 4.968; 0.139; 0.028; 0.002; 0.013; 0.002; 2.73; 0.14; 0.196; 0.008; 0.377; 0.014; 0.080; 0.005; 0.19; 0.05
 0.43; 0.03;      ;      ; 0.168; 0.017;      ;      ;      ;      ; 2.86; 0.15; 1.173; 0.051; 0.564; 0.024;      ;      ; 0.62; 0.05
 0.94; 0.09;      ;      ; 0.461; 0.055;      ;      ;      ;      ; 2.82; 0.21; 1.122; 0.070; 0.576; 0.035;      ;      ; 0.66; 0.08
 0.98; 0.04; 0.523; 0.023; 7.906; 0.219; 0.023; 0.001; 0.016; 0.001; 2.83; 0.14; 0.149; 0.006; 0.176; 0.006; 0.089; 0.005; 0.18; 0.05
 3.00; 0.14; 0.280; 0.013; 3.996; 0.112; 0.032; 0.002; 0.012; 0.001; 2.77; 0.14; 0.269; 0.010; 0.347; 0.014; 0.064; 0.004; 0.21; 0.05
 3.88; 0.18;      ;      ; 1.494; 0.044;      ;      ; 0.010; 0.002; 2.78; 0.14; 0.387; 0.017; 0.387; 0.016; 0.051; 0.004; 0.19; 0.05
 3.94; 0.19; 0.094; 0.010; 1.299; 0.040;      ;      ;      ;      ; 2.79; 0.15; 0.253; 0.016; 0.534; 0.021; 0.034; 0.003; 0.25; 0.05
 4.01; 0.23;      ;      ; 2.495; 0.090;      ;      ;      ;      ; 2.78; 0.18; 0.321; 0.020; 0.390; 0.021; 0.037; 0.008; 0.25; 0.06
 2.99; 0.14; 0.141; 0.012; 2.544; 0.076;      ;      ;      ;      ; 2.67; 0.14; 0.241; 0.011; 0.441; 0.019; 0.041; 0.005; 0.23; 0.05
 2.05; 0.09; 0.338; 0.015; 5.311; 0.147; 0.023; 0.001; 0.015; 0.001; 2.77; 0.14; 0.136; 0.005; 0.206; 0.008; 0.059; 0.003; 0.15; 0.05
 4.24; 0.20; 0.122; 0.008; 1.964; 0.056;      ;      ;      ;      ; 2.69; 0.14; 0.332; 0.014; 0.559; 0.022; 0.041; 0.003; 0.23; 0.05
 3.57; 0.18; 0.274; 0.022; 3.248; 0.102; 0.015; 0.005;      ;      ; 2.70; 0.15; 0.314; 0.016; 0.423; 0.019; 0.046; 0.005; 0.21; 0.06
 2.13; 0.10; 0.336; 0.016; 4.837; 0.135; 0.035; 0.002; 0.014; 0.001; 2.68; 0.14; 0.135; 0.005; 0.247; 0.009; 0.040; 0.003; 0.12; 0.05
 3.10; 0.15; 0.270; 0.016; 2.377; 0.069; 0.023; 0.002;      ;      ; 2.72; 0.14; 0.179; 0.008; 0.316; 0.013; 0.035; 0.003; 0.32; 0.05

